Name Variants,Domains,Grant Numbers,Dummy1,Institution IDs,Keywords
EU-Büro,,,,,
EU-b,,,,,
TU Dortmund,,,,,
TU Dortmund University,,,,,
Technical University Dortmund,,,,,
Technische Universität Dortmund,,,,,
Universität Dortmund,,,,,
University of Technology Dortmund,,,,,
,tu-dortmund.de,,,,
,uni-dortmund.de,,,,
,udo.edu,,,,
,,,,grid.5675.1,
,,,,0000000104169637,
,,,,Q685557,
,,,,01k97gp34,
DORTMUND TECH UNIV,,,,,
DORTMUND UNIV,,,,,
DORTMUND UNIV TECHNOL,,,,,
DORTMUND UNIV TECHNOL,,,,,
DORTMUND UNIV TECHNOL GERMANY,,,,,
TECH UNIV TU DORTMUND,,,,,
TECHN UNIV DORTMUND,,,,,
TECHNOL UNIV DORTMUND,,,,,
TECN UNIV DORTMUND,,,,,
TU DORTMUND,,,,,
TU DORTMUND UNIV,,,,,
TU DORTMUND UNIV TECHNOL,,,,,
UNIV DORTMUND,,,,,
UNIV DORTMUND TU,,,,,
UNIV TECHNOL DORTMUND,,,,,
Univ of Donmund,,,,,
Universita&uml;t Dortmund,,,,,
Universiti Dortmund,,,,,
Universitaet Dormtund,,,,,
University of Dormtund,,,,,
Universität Dort Mund,,,,,
Universität Dortmunds,,,,,
Universität Dortmond,,,,,
Universität Dortmurd,,,,,
Univ der Dortmund,,,,,
DortmundUniversity,,,,,
Dortmund Universitaet,,,,,
U. of Dortmund,,,,,
Universitäten Dortmund,,,,,
Univ of Dortmond,,,,,
Univ. D.,,,,,
Univesity of Dortmund,,,,,
Universitat Drotmund,,,,,
Univ Dormtund,,,,,
Universiẗt Dortmund,,,,,
Universitat Dortmund,,,,,
University of Dormund,,,,,
University at Dortmund,,,,,
Universitẗ Dortmund,,,,,
Universitat Dormtund,,,,,
Univ. Dortmund,,,,,
Universitä T Dortmund,,,,,
University of Dromond,,,,,
Dortmund University of Technology,,,,,
Universität Dortmund,,,,,
Universitaet Dortmund,,,,,
TU Dortmund,,,,,
Universitaet Dortmund/Deutschland,,,,,
University of Dortmand,,,,,
Dortmund University,,,,,
Univ. of Dortmund,,,,,
TU Dortmund University,,,,,
Universität Doetmund,,,,,
Dortmund Universität.,,,,,
University of Donmund,,,,,
Universität Dotmund,,,,,
Universitá Dortmund,,,,,
Univ. Dormtund,,,,,
Universität Durtmund,,,,,
Universitat Dortmond,,,,,
Univ of Dotmund,,,,,
Dortmund Technical University,,,,,
U Dortmund,,,,,
Universität Dormund,,,,,
Universtät Dortmund,,,,,
Universität at Dortmund,,,,,
Universitit Dortmund,,,,,
Universitt Dortmund,,,,,
Universität Dortmnund,,,,,
Universität of Dortmund,,,,,
Univ of Dormund,,,,,
Dortmund Univ.,,,,,
University Dortmund,,,,,
Dortmund Universität,,,,,
University of Dortmund,,,,,
University of Dortmung,,,,,
Dortmund Univ,,,,,
Universit&auml;t Dortmund,,,,,
Universitat of Dortmund,,,,,
Universität in Dortmund,,,,,
Technical University Dortmund,,,,,
Universitä Dortmund,,,,,
University of Dortmunt,,,,,
Universtität Dortmund,,,,,
Dortmund Universität,,,,,
Univ Dortmand,,,,,
T.U. Dortmund,,,,,
Technical Universtity Dortmund,,,,,
Dortmund TU,,,,,
Dortm. TU,,,,,
Dortm TU,,,,,
Dortm. Tech. Univ.,,,,,
Dortm. Techn. Univ.,,,,,
Dortm Tech Univ,,,,,
Dortm Techn Univ,,,,,
Dortmund Technical University,,,,,
Dortmund TU,,,,,
Dortmund TU University,,,,,
Dortmund Univ.,,,,,
Dortmund Univ,,,,,
Dortmund Univ. Technol.,,,,,
Dortmund Univ Technol,,,,,
Dortmund Univ. of Technol.,,,,,
Dortmund Univ. of Technology,,,,,
Dortmund University,,,,,
Dortmund University of Technology,,,,,
Tech. Univ. Dortm.,,,,,
Tech Univ Dortm,,,,,
Techn Univ Dortm,,,,,
